id	town	user	pop	latitude	longitude	code
2021	"Szabadszentkiraly"	262	785	46.00298	18.04874	1507
2022	"Szabolcs"	145	398	48.171086	21.493884	1916
2023	"Szabolcsbaka"	272	1138	48.154937	22.140806	2205
2024	"Szabolcsveresmart"	336	1665	48.29509	22.02666	358
2025	"Szada"	1534	4652	47.638654	19.310009	2145
2026	"Szajk"	342	852	45.986572	18.533399	847
2027	"Szajla"	57	612	47.967693	20.151233	1606
2028	"Szajol"	1143	3734	47.17793	20.301095	587
2029	"Szakadat"	46	238	46.537336	18.471958	1531
2030	"Szakald"	114	519	47.943648	20.909213	380
2031	"Szakaly"	351	1490	46.524176	18.382436	446
2032	"Szakcs"	209	842	46.538886	18.11078	1008
2033	"Szakmar"	223	1148	46.555093	19.074682	1953
2034	"Szakoly"	811	2735	47.761581	21.90417	477
2035	"Szakony"	107	400	47.428383	16.712804	1136
2036	"Szakonyfalu"	92	354	46.925625	16.228084	2093
2037	"Szakszend"	436	1480	47.54507	18.172962	3351
2038	"Szalafo"	64	205	46.865135	16.363635	1022
2039	"Szalanta"	330	1233	45.95129	18.24869	2225
2040	"Szalapa"	65	191	46.991243	17.14519	2054
2041	"Szalaszend"	144	1119	48.38818	21.127065	3101
2042	"Szalatnak"	96	330	46.2902	18.281813	900
2043	"Szalka"	186	612	46.27453	18.636966	1471
